replication,seed,population,strategy,peak_load_ratio,overcrowded_poi_time_pct,top_10_visit_share,visit_gini,district_entropy,catalog_coverage,tourist_satisfaction,recommendation_acceptance,mean_distance_km,budget_compliance,precision_at_5,recall_at_5,diversity,novelty,exposure_fairness,mean_sustainability,mean_local_economic,completed_visit_share
14,1014,5000,personalized,0.7054545454545454,0.0,0.1358,0.36068333333333347,0.9734367969226141,0.9833333333333333,0.7880240006426287,0.2921,2.6024579222355757,1.0,0.70545,0.5678948062130937,0.333795,0.5421948,0.6393166666666665,0.8072335,0.7201175,1.0
14,1014,5000,sustainability,0.6945454545454546,0.0,0.07665,0.4088450000000001,0.999999674224648,0.9833333333333333,0.7176488741034609,0.30755,2.4003459028675787,1.0,0.42218,0.32377892285496584,0.8805400000000001,0.5693832,0.5911549999999999,0.8197539999999999,0.746685,1.0
15,1015,5000,popularity,1.3625668449197859,1.6666666666666667,0.77615,0.8555183333333334,0.7149559817589669,0.38333333333333336,0.5312424022076478,0.2843,1.702915912566395,1.0,0.15302000000000002,0.14983674696046986,0.8941150000000001,0.17943840000000003,0.14448166666666662,0.6768810000000002,0.60563,1.0
15,1015,5000,personalized,0.7272727272727273,0.0,0.1377,0.35257833333333344,0.9759539260288386,1.0,0.7869384670876212,0.29455,2.5783942061808944,1.0,0.70139,0.5726414328503454,0.335455,0.5391488,0.6474216666666666,0.804713,0.719278,1.0
15,1015,5000,sustainability,0.6618181818181819,0.0,0.0776,0.40479166666666666,0.9999995006477553,0.9666666666666667,0.7180190869701364,0.30585,2.3615535321696814,1.0,0.4262,0.32817790008280334,0.877375,0.5668168999999998,0.5952083333333333,0.819686,0.744092,1.0
16,1016,5000,popularity,1.413903743315508,1.6666666666666667,0.776,0.8561933333333334,0.7154208766669412,0.4,0.5311639860219716,0.2872,1.7084762189778593,1.0,0.15037999999999999,0.14908295579485015,0.8920950000000001,0.18127330000000003,0.14380666666666664,0.6790880000000001,0.6071025,1.0
16,1016,5000,personalized,0.6836363636363636,0.0,0.13725,0.3630716666666667,0.9732871885882455,0.9833333333333333,0.7890604276473233,0.2927,2.6019706940728677,1.0,0.70613,0.5687158300967607,0.329325,0.5402446,0.6369283333333333,0.807377,0.7217635000000001,1.0
16,1016,5000,sustainability,0.6909090909090909,0.0,0.0779,0.40927666666666673,0.9999997176215529,0.9833333333333333,0.7184933105785402,0.3068,2.3875604728486097,1.0,0.42477,0.3231330452760174,0.8799250000000002,0.5670752,0.5907233333333333,0.8210470000000001,0.7450565,1.0
17,1017,5000,popularity,1.4032085561497325,1.6666666666666667,0.78085,0.8566333333333334,0.7124543612530869,0.4,0.5297556294313385,0.29,1.697193841344023,1.0,0.1536,0.15436463236368037,0.8929400000000002,0.17972590000000005,0.14336666666666664,0.6766640000000002,0.6056590000000001,1.0
17,1017,5000,personalized,0.6836363636363636,0.0,0.13615,0.35010166666666676,0.9764262897323626,0.9833333333333333,0.7863912589756473,0.3002,2.5666843446617023,1.0,0.7010599999999999,0.5773514870260459,0.33327,0.5398265,0.6498983333333332,0.8045915,0.7206600000000001,1.0
17,1017,5000,sustainability,0.6836363636363636,0.0,0.07625,0.40618,0.9999997719790443,0.9666666666666667,0.71657014258981,0.31555,2.370049063379961,1.0,0.42176,0.3264457701899923,0.88107,0.5677081,0.59382,0.8197074999999999,0.7464135000000001,1.0
18,1018,5000,popularity,1.4032085561497325,1.6666666666666667,0.7739,0.8559000000000001,0.669019502483024,0.4166666666666667,0.5289455613974321,0.28005,1.7226453053350357,1.0,0.15306,0.149252941818888,0.89187,0.18161549999999999,0.1440999999999999,0.6794180000000001,0.6066839999999999,1.0
18,1018,5000,personalized,0.6618181818181819,0.0,0.1329,0.36037333333333343,0.9743349220220877,0.9833333333333333,0.7846072597881203,0.28665,2.5915250058572905,1.0,0.70585,0.5687619665613455,0.333735,0.5407922,0.6396266666666666,0.8072360000000001,0.7214065,1.0
18,1018,5000,sustainability,0.68,0.0,0.0772,0.41285000000000016,0.9999986753449039,0.9666666666666667,0.7156021266244377,0.2994,2.3968928284139364,1.0,0.42467999999999995,0.322868573115481,0.8780800000000001,0.5704519,0.5871499999999998,0.82045,0.7471460000000001,1.0
19,1019,5000,popularity,1.360427807486631,1.6666666666666667,0.7735,0.8549516666666668,0.7159386625902625,0.4,0.5318650312606328,0.287,1.7097433341081931,1.0,0.15511000000000003,0.15210002913301868,0.89336,0.18106260000000002,0.14504833333333322,0.6779035000000001,0.6077524999999999,1.0
19,1019,5000,personalized,0.6327272727272727,0.0,0.13905,0.3615533333333334,0.9728287033071322,0.9666666666666667,0.7869033471721377,0.2966,2.60039070804113,1.0,0.70552,0.570119793919316,0.33726,0.5384897,0.6384466666666666,0.8072025,0.7175655000000001,1.0
19,1019,5000,sustainability,0.68,0.0,0.07525,0.40968000000000004,0.9999998805907053,0.9666666666666667,0.7168697244471847,0.3089,2.406678573583348,1.0,0.4244200000000001,0.32451161604842527,0.8805150000000002,0.5704413999999999,0.59032,0.8203185,0.746042,1.0
20,1020,5000,popularity,1.3882352941176468,1.6666666666666667,0.77585,0.8560400000000001,0.7165049142636166,0.4,0.530126583123602,0.2902,1.7157871842682013,1.0,0.15341999999999997,0.15084923686822294,0.8928200000000001,0.1807977,0.14395999999999987,0.6777569999999999,0.6064145,1.0
20,1020,5000,personalized,0.7418181818181818,0.0,0.13455,0.35691000000000006,0.9750357328072283,0.9833333333333333,0.7869937349436799,0.2988,2.5890960808362107,1.0,0.7015899999999999,0.568991137084235,0.335415,0.5423216000000001,0.6430899999999999,0.8061195,0.7216305000000001,1.0
20,1020,5000,sustainability,0.6727272727272727,0.0,0.0768,0.40885666666666665,0.9999993375534193,0.9666666666666667,0.7175392342519643,0.3103,2.395873277266888,1.0,0.42231,0.3246620191167192,0.8788050000000001,0.5698101999999999,0.5911433333333334,0.8201815,0.7467045,1.0
21,1021,5000,popularity,1.4010695187165774,1.6666666666666667,0.77645,0.8555200000000001,0.7173600213569584,0.38333333333333336,0.531607013227398,0.2783,1.711080819919581,1.0,0.1556,0.1496419551861967,0.8920150000000001,0.17990620000000002,0.14447999999999994,0.679177,0.60561,1.0
21,1021,5000,personalized,0.6909090909090909,0.0,0.1373,0.3600066666666668,0.9746468999494757,0.9666666666666667,0.7884167093510819,0.28985,2.59540451534868,1.0,0.7078,0.5745737309431195,0.332815,0.5407367000000001,0.6399933333333332,0.806727,0.717362,1.0
21,1021,5000,sustainability,0.6872727272727273,0.0,0.0764,0.4062300000000001,0.9999999022891578,0.9833333333333333,0.7183314258893836,0.3031,2.3978398054721004,1.0,0.42457000000000006,0.3230537151324767,0.8793250000000001,0.5691146,0.5937699999999999,0.820449,0.7444705,1.0
22,1022,5000,popularity,1.364705882352941,1.6666666666666667,0.78065,0.856795,0.7110676129788599,0.4,0.5302234188069047,0.28795,1.7057261627560394,1.0,0.15506,0.1536610784592944,0.8931900000000002,0.17958870000000002,0.14320500000000003,0.6770580000000002,0.605683,1.0
22,1022,5000,personalized,0.7054545454545454,0.0,0.13495,0.3541183333333333,0.9755280332543286,0.9833333333333333,0.7879314808398808,0.29795,2.575218009978147,1.0,0.7118700000000001,0.5736554722045241,0.332385,0.5411452999999999,0.6458816666666667,0.8056385,0.7193155,1.0
22,1022,5000,sustainability,0.68,0.0,0.0771,0.40828166666666665,0.9999997937426084,0.9666666666666667,0.7182557688929337,0.3139,2.398352174666903,1.0,0.42697000000000007,0.32150163403568394,0.87892,0.566734,0.5917183333333333,0.8200165,0.7449835,1.0
23,1023,5000,popularity,1.3989304812834222,1.6666666666666667,0.7804,0.8570133333333334,0.7141745901885721,0.4,0.5301475648297165,0.2887,1.7167640273820477,1.0,0.15367999999999998,0.14868830907783306,0.8927650000000001,0.18040480000000003,0.1429866666666666,0.678004,0.605093,1.0
