strategy,slot,poi_id,poi_name,district,lat,lon,nominal_capacity,capacity,occupancy,load_ratio
personalized,4,P014,MNAC,Sants-Montjuic,41.3686,2.1536,700,385.00000000000006,8,0.020779220779220776
personalized,4,P015,Poble Espanyol,Sants-Montjuic,41.3693,2.1479,800,440.00000000000006,2,0.004545454545454545
personalized,4,P016,Joan Miro Foundation,Sants-Montjuic,41.368,2.1597,500,275.0,8,0.02909090909090909
personalized,4,P017,Montjuic Botanical Garden,Sants-Montjuic,41.3627,2.1592,650,357.50000000000006,0,0.0
personalized,4,P018,Hostafrancs Market,Sants-Montjuic,41.3752,2.1437,500,275.0,83,0.3018181818181818
personalized,4,P019,Camp Nou Experience,Les Corts,41.3809,2.1228,1000,550.0,12,0.02181818181818182
personalized,4,P020,Pedralbes Monastery,Les Corts,41.3951,2.112,400,220.00000000000003,44,0.19999999999999998
personalized,4,P021,Pedralbes Gardens,Les Corts,41.3881,2.1176,750,412.50000000000006,90,0.21818181818181814
personalized,4,P022,Ceramics Museum,Les Corts,41.3882,2.1174,300,165.0,34,0.20606060606060606
personalized,4,P023,Les Corts Market,Les Corts,41.3861,2.1355,500,275.0,95,0.34545454545454546
personalized,4,P024,Can Deu Civic Centre,Les Corts,41.3883,2.1343,300,165.0,92,0.5575757575757576
personalized,4,P025,Tibidabo,Sarria-Sant Gervasi,41.4225,2.1186,900,495.00000000000006,3,0.00606060606060606
personalized,4,P026,Sagrat Cor Tibidabo,Sarria-Sant Gervasi,41.422,2.1185,500,275.0,34,0.12363636363636364
personalized,4,P027,CosmoCaixa,Sarria-Sant Gervasi,41.4132,2.131,800,440.00000000000006,26,0.05909090909090908
personalized,4,P028,Collserola Nature Park,Sarria-Sant Gervasi,41.4194,2.099,1200,660.0,35,0.05303030303030303
personalized,4,P029,Sarria Market,Sarria-Sant Gervasi,41.4007,2.1195,450,247.50000000000003,85,0.34343434343434337
personalized,4,P030,Tamarita Gardens,Sarria-Sant Gervasi,41.4093,2.132,500,275.0,96,0.3490909090909091
personalized,4,P031,Park Guell,Gracia,41.4145,2.1527,1100,605.0,0,0.0
personalized,4,P032,Casa Vicens,Gracia,41.4035,2.1506,350,192.50000000000003,13,0.06753246753246753
personalized,4,P033,Placa del Sol,Gracia,41.4013,2.157,650,357.50000000000006,130,0.3636363636363636
personalized,4,P034,Abaceria Market,Gracia,41.4036,2.1587,450,247.50000000000003,105,0.4242424242424242
personalized,4,P035,Park de la Creueta del Coll,Gracia,41.4187,2.147,800,440.00000000000006,31,0.07045454545454545
personalized,4,P036,Refugi Antiaeri Placa del Diamant,Gracia,41.4046,2.1566,220,121.00000000000001,60,0.4958677685950413
personalized,4,P037,Hospital de Sant Pau,Horta-Guinardo,41.4117,2.1744,600,330.0,12,0.03636363636363636
personalized,4,P038,Labyrinth Park of Horta,Horta-Guinardo,41.4397,2.147,700,385.00000000000006,8,0.020779220779220776
personalized,4,P039,Bunkers del Carmel,Horta-Guinardo,41.4193,2.1618,450,247.50000000000003,31,0.12525252525252523
personalized,4,P040,Guinardo Park,Horta-Guinardo,41.4183,2.1748,900,495.00000000000006,30,0.0606060606060606
